Coupon,Rating,Name,Location,Delivery Time,Delivery Fee,Average Price,Food Type
$11.5 off $40 rookie coupon,4.7,Hokkaido Baked Cheese Tart,East village,Over 73min,$4.99,$13,
Specials 100% off,4.3,XW Spicy Hot Pot,中城,Over 73min,$4.99,$25,
$11.5 off $40 rookie coupon,4.5,Burp Bowl Cafe,United Nation,57-67min,$4.49,$16,
$11.5 off $40 rookie coupon,4.3,Shanghai Dim Sum Garden,Midtown,56-66min,$2.99,$27,Chinese
$11.5 off $40 rookie coupon,4.4,AweSum DimSum,Midtown,59-69min,$4.49,$23,
$11.5 off $40 rookie coupon,4.0,,,Over 73min,$4.99,$29,
Specials 100% off,5.0,Clucker's Crispy Chicken,Midtown,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,4.7,BCD Tofu House,Midtown,Over 73min,$4.99,,Korean
$11.5 off $40 rookie coupon,4.6,Rice on Fire,East village,62-72min,$4.99,$15,
$11.5 off $40 rookie coupon,No Rating,Lisa's Dumpling,Midtown,Over 73min,$2.99,$27,
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,Chinese
$11.5 off $40 rookie coupon,5.0,Hunan X,Midtown,Over 73min,$4.49,$29,
$11.5 off $40 rookie coupon,4.6,JOOY TEA SHOPPE,HELL'S KITCHEN) (Midtown,57-67min,$2.99,$9,Bubble Tea
$11.5 off $40 rookie coupon,5.0,Chili,New York,62-72min,$4.49,$30,Chinese
$11.5 off $40 rookie coupon,5.0,,,42-52min,$2.49,,
$11.5 off $40 rookie coupon,No Rating,Lady M,Bryant Park,60-70min,$4.49,$21,
$11.5 off $40 rookie coupon,5.0,Down Under Coffee,Midtown,50-60min,$2.99,$10,Cafe
$11.5 off $40 rookie coupon,No Rating,Fushimi Food Court,Midtown,Over 73min,$4.99,$23,
$11.5 off $40 rookie coupon,No Rating,Lucky Pot,Midtown,60-70min,$4.49,,
$11.5 off $40 rookie coupon,5.0,,,Over 73min,$4.99,,Bubble Tea
$11.5 off $40 rookie coupon,4.1,One's Hotpot,Midtown,60-70min,$4.49,$15,
$11.5 off $40 rookie coupon,4.4,DD soup dumpling,Mid town,57-67min,$4.49,,Chinese
$11.5 off $40 rookie coupon,5.0,Sweetea,Midtown,Over 73min,$4.99,$11,
$11.5 off $40 rookie coupon,No Rating,,,33-43min,$1.99,,
$11.5 off $40 rookie coupon,5.0,,,46-56min,$2.99,$11,Cafe
$11.5 off $40 rookie coupon,5.0,,,62-72min,$4.49,$38,Korean
$11.5 off $40 rookie coupon,5.0,ROYCE' Chocolate,Bryant Park,60-70min,$4.49,,
$11.5 off $40 rookie coupon,No Rating,,,30-40min,$1.99,,Healthy
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,No Rating,Pho87 Vietnamese Soup,Midtown,56-66min,$2.99,$17,
$11.5 off $40 rookie coupon,No Rating,,,59-69min,$4.49,,
$11.5 off $40 rookie coupon,No Rating,,,44-54min,$2.49,,
$11.5 off $40 rookie coupon,No Rating,,,36-46min,$1.99,,
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,No Rating,Mucha NYC,Manhattan Midtown,Over 73min,$4.99,,Bubble Tea
$11.5 off $40 rookie coupon,No Rating,Amorino Gelato,Manhattan Midtown,56-66min,$2.99,$17,
$11.5 off $40 rookie coupon,No Rating,,,37-47min,$1.99,,
$11.5 off $40 rookie coupon,No Rating,Quality Bento Box,Midtown,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,No Rating,,,53-63min,$2.99,,
$11.5 off $40 rookie coupon,No Rating,Orange Orange,Midtown,61-71min,$4.49,,
$11.5 off $40 rookie coupon,No Rating,The Hummus And Pita Co,E 86th St,43-53min,$2.49,,
$11.5 off $40 rookie coupon,No Rating,,,43-53min,$2.49,,Bubble Tea
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,Poke
$11.5 off $40 rookie coupon,No Rating,,,40-50min,$2.49,,
$11.5 off $40 rookie coupon,No Rating,,,38-48min,$1.99,,Healthy
$11.5 off $40 rookie coupon,No Rating,,,63-73min,$4.49,,
$11.5 off $40 rookie coupon,No Rating,All’antico Vinaio,Sullivan Street,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,No Rating,,,61-71min,$4.49,,Bubble Tea
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,5.0,,,37-47min,$4.49,,
$11.5 off $40 rookie coupon,No Rating,Burgermania,Midtown,43-53min,$4.49,,
$11.5 off $40 rookie coupon,No Rating,Amorino Gelato,Manhattan Midtown,32-42min,$2.49,,
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,4.9,,,Over 73min,$4.99,$11,Bubble Tea
